Day;Month;Year;SunRad;Temp;TheorEff1;TheorEff2;Eff1;Eff2
23;3;20;275,4645;6,7409;0,6173;0,6002;0,7208;0,7941
27;3;20;279,555;6,6072;0,6499;0,6173;0,7665;0,874
28;3;20;405,571;3,6277;0,6044;0,5879;0,7689;0,8493
29;3;20;170,9558;1,1406;0,5875;0,6159;0,7571;0,9497
30;3;20;429,6698;5,4395;0,5933;0,5707;0,8292;0,9027
31;3;20;126,5793;6,5631;0,5146;0,5078;0,5233;0,6504
2;4;20;146,9856;2,3004;0,5829;0,6131;0,5947;0,7128
3;4;20;317,4447;1,1788;0,6104;0,5905;0,6455;0,7502
4;4;20;382,6049;4,6703;0,5932;0,5733;0,753;0,8502
5;4;20;233,7604;11,5755;0,5887;0,5887;0,9428;0,9428
6;4;20;414,9142;15,4139;0,6556;0,6365;0,7395;0,8053
7;4;20;365,1642;9,3226;0,5868;0,5684;0,8169;0,8641
9;4;20;208,0246;4,6056;0,5875;0,57;0,3648;0,4948
10;4;20;459,808;6,5687;0,5977;0,5763;0,7705;0,8444
12;4;20;233,8465;3,7922;0,5786;0,5592;0,8161;0,8644
13;4;20;319,436;3,0779;0,6087;0,5987;0,7227;0,7706
16;4;20;358,163;5,9604;0,6445;0,6335;0,6277;0,7
17;4;20;488,6633;7,9845;0,6081;0,5896;0,7439;0,8178
18;4;20;490,7737;9,8141;0,6074;0,5872;0,7564;0,829
19;4;20;485,4629;11,842;0,6084;0,5889;0,7637;0,8352
22;4;20;498,6196;16,6195;0,6233;0,605;0,7626;0,8265
23;4;20;493,3408;10,147;0,6092;0,5931;0,7377;0,7875
24;4;20;395,4894;11,3944;0,6158;0,6032;0,7188;0,7799
25;4;20;511,3918;11,5308;0,6097;0,5915;0,7503;0,8191
27;4;20;150,065;6,5686;0,5693;0,5807;0,7279;0,7768
28;4;20;215,2124;10,0303;0,5589;0,5305;0,6658;0,7726
29;4;20;436,2605;9,1129;0,6292;0,6172;0,7021;0,7492
30;4;20;319,9714;9,3177;0,6145;0,605;0,6454;0,7274
1;5;20;227,6172;9,4244;0,6054;0,5963;0,6296;0,6767
2;5;20;206,5297;8,0767;0,5728;0,5655;0,8109;0,8343
3;5;20;362,9204;7,6593;0,6264;0,6167;0,6849;0,7099
4;5;20;401,3397;6,3894;0,612;0,5987;0,7997;0,8388
5;5;20;337,6118;7,2836;0,6261;0,6149;0,6014;0,6885
6;5;20;277,774;9,7935;0,6231;0,6167;0,6379;0,6378
7;5;20;205,8419;8,471;0,6008;0,5912;0,4667;0,4937
8;5;20;290,1765;8,3005;0,6279;0,6202;0,6035;0,6125
9;5;20;236,1631;7,5591;0,5873;0,5739;0,5366;0,653
10;5;20;506,8568;5,1359;0,6116;0,5996;0,7181;0,7983
11;5;20;317,1201;4,019;0,6061;0,6017;0,6082;0,6876
12;5;20;380,4859;3,7663;0,6032;0,5946;0,7285;0,8296
13;5;20;449,4248;6,9549;0,5983;0,5847;0,6874;0,7558
14;5;20;497,8501;6,9549;0,6234;0,6094;0,6867;0,7345
15;5;20;471,2759;6,2579;0,6199;0,6064;0,6759;0,7241
17;5;20;401,7051;7,5014;0,6664;0,6608;0,415;0,4915
18;5;20;443,248;9,2444;0,6405;0,6313;0,5789;0,6428
19;5;20;574,1274;9,7377;0,6148;0,6014;0,6889;0,7709
20;5;20;558,3788;13,5305;0,6369;0,6227;0,7455;0,8025
21;5;20;352,1866;16,2414;0,6579;0,6547;0,6647;0,7055
22;5;20;148,6197;17,2291;0,5938;0,5913;0,7176;0,7306
23;5;20;456,7441;11,6535;0,6495;0,6386;0,7068;0,7405
24;5;20;168,2508;9,8126;0,5898;0,5903;0,3032;0,4044
25;5;20;351,9392;11,5951;0,6216;0,6093;0,6092;0,6717
27;5;20;429,9815;10,9252;0,6667;0,6606;0,5309;0,5891
28;5;20;559,4139;12,2919;0,6431;0,6325;0,6494;0,6819
29;5;20;552,7601;15,8452;0,6313;0,6178;0,7117;0,7729
30;5;20;553,8653;20,2473;0,6425;0,6287;0,7273;0,7792
31;5;20;517,4924;19,9164;0,6411;0,6274;0,7261;0,794
1;6;20;476,3926;18,2378;0,6407;0,6293;0,6977;0,7618
2;6;20;510,3366;16,1516;0,6373;0,6249;0,6773;0,7417
3;6;20;394,7437;15,8937;0,6206;0,6079;0,6902;0,7936
6;6;20;246,384;12,7718;0,6332;0,6258;0,5606;0,5944
7;6;20;258,0536;11,2699;0,6041;0,5968;0,708;0,7437
8;6;20;582,2095;13,4647;0,6388;0,6268;0,7091;0,7694
9;6;20;490,5708;14,4908;0,6191;0,6054;0,7663;0,8229
10;6;20;410,5925;15,113;0,669;0,6632;0,539;0,5614
11;6;20;568,4302;22,8964;0,6578;0,6468;0,704;0,7533
12;6;20;534,1294;24,3129;0,653;0,6436;0,719;0,7759
13;6;20;300,4792;23,2394;0,6715;0,6651;0,642;0,6351
14;6;20;289,4626;20,2097;0,674;0,664;0,6;0,5792
15;6;20;548,6055;22,4191;0,6543;0,6424;0,7214;0,762
16;6;20;554,3947;23,4592;0,6539;0,6417;0,7202;0,762
17;6;20;517,3051;19,1431;0,6554;0,6453;0,6492;0,686
18;6;20;540,3169;21,6039;0,6422;0,6298;0,7032;0,7442
19;6;20;438,0394;24,3693;0,6475;0,6389;0,6893;0,729
20;6;20;222,6403;19,3324;0,6301;0,6294;0,7297;0,7268
21;6;20;295,4811;18,051;0,6564;0,648;0,9071;0,8757
22;6;20;479,1656;16,9974;0,6434;0,6331;0,6563;0,709
23;6;20;347,2574;18,617;0,6855;0,6842;0,665;0,7075
24;6;20;547,6188;21,289;0,6492;0,6394;0,7061;0,7702
25;6;20;546,7548;22,4915;0,6487;0,637;0,7033;0,7661
26;6;20;473,8792;25,9196;0,6542;0,6456;0,6863;0,7466
27;6;20;516,2638;25,9299;0,6589;0,6487;0,7221;0,761
28;6;20;263,0259;16,762;0,6594;0,659;0,8262;0,8126
29;6;20;232,6328;16,4064;0,632;0,6313;0,7078;0,7106
30;6;20;325,8737;17,0773;0,6495;0,6465;0,6495;0,7049
1;7;20;514,3852;14,2879;0,6401;0,6313;0,6731;0,7143
2;7;20;299,0473;10,1992;0,6291;0,6249;0,6504;0,7069
3;7;20;275,0791;11,3755;0,6361;0,6241;0,725;0,7691
11;7;20;433,9269;12,5051;0,6635;0,654;0,6009;0,658
12;7;20;325,779;13,8306;0,6723;0,665;0,6122;0,616
13;7;20;181,2828;13,8132;0,615;0,6103;0,5814;0,6586
14;7;20;224,0609;14,842;0,61;0,5939;0,7208;0,7786
15;7;20;354,6695;16,2592;0,6772;0,6728;0,5514;0,5603
16;7;20;439,2734;16,6462;0,658;0,6437;0,6347;0,6839
18;7;20;303,1075;15,5558;0,6593;0,6465;0,7393;0,7648
19;7;20;292,871;14,4785;0,6423;0,637;0,6339;0,6909
20;7;20;328,284;13,1154;0,6419;0,6338;0,6943;0,7022
21;7;20;302,4143;11,7867;0,6349;0,6303;0,6772;0,7439
22;7;20;480,0443;13,6789;0,6623;0,6542;0,6931;0,7158
23;7;20;555,4502;16,5665;0,6416;0,6282;0,7273;0,7934
24;7;20;567,9794;17,3122;0,6404;0,627;0,7467;0,8216
25;7;20;528,9443;18,2802;0,6496;0,6381;0,7077;0,7735
26;7;20;163,9548;18,1667;0,641;0,628;0,4249;0,2839
27;7;20;174,1352;16,6513;0,6367;0,6276;0,4641;0,3954
28;7;20;351,0763;16,5848;0,6941;0,6911;0,6064;0,5508
29;7;20;142,1402;14,6547;0,549;0,5382;0,744;0,7718
31;7;20;417,4124;19,9587;0,6508;0,6404;0,6776;0,7647
1;8;20;393,6423;23,8672;0,6642;0,6484;0,7474;0,7848
2;8;20;155,3981;13,5227;0,6073;0,5926;0,5952;0,4142
3;8;20;429,7965;14,3161;0,6498;0,6377;0,6097;0,7091
4;8;20;323,2053;14,8958;0,6528;0,6388;0,5191;0,6051
6;8;20;299,0737;20,8899;0,6863;0,6745;0,6436;0,6651
8;8;20;221,1858;14,9361;0,6178;0,6095;0,8363;0,7929
9;8;20;492,9822;17,2665;0,6243;0,6096;0,7601;0,8233
10;8;20;469,379;20,0686;0,6197;0,6041;0,7772;0,8289
11;8;20;418,1961;21,8367;0,6251;0,6106;0,7617;0,8148
12;8;20;428,6989;24,8542;0,6325;0,6161;0,7589;0,8141
13;8;20;176,2036;20,82;0,6035;0,6039;0,793;0,7646
14;8;20;154,1441;15,5604;0,5963;0,5944;0,7565;0,6682
15;8;20;466,7819;18,3471;0,6208;0,6045;0,7455;0,8198
16;8;20;458,5478;21,9579;0,6201;0,6033;0,768;0,8305
17;8;20;442,3986;23,9478;0,623;0,606;0,765;0,8336
18;8;20;397,9194;25,1156;0,6364;0,6217;0,7383;0,7662
19;8;20;146,5305;19,3842;0,5708;0,5634;0,8948;0,9179
20;8;20;239,5767;20,339;0,6173;0,6215;0,7985;0,8604
21;8;20;89,7523;18,96;0,6037;0,6326;0,7648;0,7284
23;8;20;140,8084;12,1371;0,5517;0,5414;0,7568;0,7467
24;8;20;243,74;11,081;0,6041;0,5972;0,6694;0,7641
25;8;20;287,6488;13,7222;0,6227;0,6053;0,7826;0,8302
26;8;20;415,8566;16,2265;0,6019;0,583;0,8071;0,8693
27;8;20;274,212;14,6814;0,5862;0,5738;0,8991;0,9326
28;8;20;340,6195;16,2846;0,6044;0,5869;0,778;0,861
29;8;20;286,9634;15,7152;0,5899;0,573;0,7934;0,8489
30;8;20;419,8765;14,5846;0,6062;0,5893;0,7753;0,8268
31;8;20;387,9546;14,5832;0,5732;0,5515;0,8138;0,8863
1;9;20;287,2277;14,9155;0,6263;0,614;0,7633;0,8145
3;9;20;83,2521;14,2076;0,5591;0,5635;0,7982;0,7982
7;9;20;103,3945;11,7907;0,7153;0,7259;0,7091;0,9684
9;9;20;165,4577;10,9654;0,6994;0,7028;0,4034;0,556
11;9;20;34,0885;11,5876;0,6455;0,6999;0,9058;0,9601
